,author,title
0,Дафна Дюморье,"В погоне за счастьем, или Мэри-Энн"
1,Александр Дюма,Катрин Блюм
2,Олдос Хаксли,О дивный новый мир
3,Арчибалд Кронин,Замок Броуди
4,Оскар Уайльд,Портрет Дориана Грея
5,Андре Лори,Капитан Трафальгар
6,Дафна Дюморье,"Трактир ""Ямайка"""
7,Дафна Дюморье,Моя кузина Рейчел
8,Дафна Дюморье,Козел отпущения
9,Уильям Голдинг,Повелитель мух
10,Харпер Ли,Убить пересмешника…
11,Пелам Вудхаус,Летняя гроза
12,Пелам Вудхаус,Задохнуться можно
13,Пелам Вудхаус,Дядя Фред посещает свои угодья
14,Пелам Вудхаус,Дядя Фред весенней порой
15,Луиза Олкотт,Маленькие женщины
16,Арчибалд Кронин,Сын менестреля
17,Арчибалд Кронин,Грейси Линдсей
18,Эрих Ремарк,Три товарища
19,Агата Кристи,Десять негритят
20,Агата Кристи,"Убийство в ""Восточном экспрессе"""
21,Михаил Лермонтов,Герой нашего времени
22,Эрих Ремарк,Триумфальная арка
23,Оскар Уайльд,Соловей и роза
24,Джек Лондон,Мартин Иден
25,Владимир Набоков,Лолита
26,Эрих Ремарк,На Западном фронте без перемен
27,Джордж Оруэлл,1984
28,Федор Достоевский,Преступление и наказание
29,Константин Паустовский,Повесть о жизни
30,Жозеф Бедье,Тристан и Изольда
31,Эрих Ремарк,"Жизнь взаймы, или У неба любимчиков нет"
32,Евгений Замятин,Мы
33,Джордж Оруэлл,Скотный двор
34,Лев Толстой,Война и мир
35,Лев Толстой,Комплект из 2-х книг
36,Валерий Брюсов,Последние страницы из дневника женщины
37,Михаил Булгаков,Записки юного врача
38,Владимир Богомолов,Момент истины (В августе сорок четвертого)
39,Агата Кристи,Убийства по алфавиту
40,Владимир Богомолов,Момент истины
41,Владимир Богомолов,В августе сорок четвертого…
42,Арним фон,Вера
43,Владимир Набоков,"Ада, или Отрада"
44,Александр Фадеев,Молодая гвардия
45,Иван Шмелев,Лето Господне
46,Ирина Головкина,Лебединая песнь
47,Ирина Головкина,Побежденные
48,Анатолий Мариенгоф,Циники
49,Анатолий Мариенгоф,Бритый человек
50,Николай Гоголь,Вечера на хуторе близ Диканьки
51,Федор Достоевский,Братья Карамазовы
52,Венедикт Ерофеев,Москва-Петушки
53,Антон Чехов,Драма на охоте
54,Антон Чехов,Истинное происшествие
55,Георгий Полонский,Доживем до понедельника
56,Гайто Газданов,Вечер у Клэр
57,Гайто Газданов,Ночные дороги
58,Владимир Набоков,Пнин
59,Федор Достоевский,Бесы
60,Николай Гоголь,Миргород
61,Николай Гоголь,Петербургские повести
62,Сергей Бородин,Молниеносный Баязет
63,Валентин Иванов,По следу
64,Лев Толстой,Анна Каренина
65,Михаил Салтыков-Щедрин,История одного города
66,Василий Ян,Чингисхан
67,Андрей Платонов,В прекрасном и яростном мире
68,Федор Достоевский,Униженные и оскорбленные
69,Александр Пушкин,Дубровский
70,Александр Пушкин,Пиковая дама
71,Александр Пушкин,Египетские ночи
72,Александр Грибоедов,Горе от ума
73,Виктор Астафьев,Васюткино озеро
74,Владимир Сафронов,Блокадник
75,Надежда Тэффи,"Тонкие письма: Рассказы, воспоминания"
76,Федор Тютчев,Перед грозою
77,Михаил Булгаков,Полное собрание романов и повестей в одном томе
78,Николай Гоголь,Нос
79,Василий Ян,Батый
80,Михаил Зощенко,Юмористические рассказы
81,Алексей Толстой,Хождение по мукам
82,Константин Паустовский,Книги IV–VI
83,Юрий Олеша,Зависть
84,Юрий Олеша,Три Толстяка
85,Аркадий Аверченко,Юмористические рассказы
86,Иван Тургенев,Первая любовь
87,Федор Достоевский,Игрок
88,Евгений Шварц,Обыкновенное чудо
89,Евгений Шварц,"Пьесы, сказки"
90,Александр Беляев,Замок ведьм
91,Александр Беляев,Повести и рассказы
92,Владимир Обручев,Земля Санникова
93,Иван Ефремов,Туманность Андромеды
94,Николай Карамзин,Бедная Лиза
95,Вячеслав Шишков,Угрюм-река
96,Вячеслав Шишков,Книга 2
97,Лев Толстой,Кавказский пленник
98,Лев Толстой,Хаджи-Мурат
99,Лев Толстой,Повести и рассказы
100,Николай Гоголь,Мертвые души
101,Иван Ефремов,Час Быка
102,Михаил Булгаков,Белая гвардия
103,Александр Пушкин,Избранное
104,Джозефина Тэй,Дочь времени
105,Шарлотта Бронте,Джейн Эйр
106,Рюноскэ Акутагава,Ворота Расёмон
107,Валентин Распутин,Последний срок
108,Валентин Распутин,Живи и помни
109,Борис Пастернак,Доктор Живаго с иллюстрациями Леонида Пастернака
110,Константин Паустовский,Книги I-III
111,Екатерина Дашкова,Записки княгини Екатерины Дашковой
112,Артем Веселый,"Россия, кровью умытая"
113,Михаил Шолохов,Они сражались за Родину
114,Борис Житков,Виктор Вавич
115,Петр Краснов,Белая свитка
116,Николай Чернышевский,Что делать?
117,Чингиз Айтматов,Первый учитель
118,Виктор Астафьев,Прокляты и убиты
119,Максим Горький,Детство
120,Максим Горький,В людях
121,Максим Горький,Мои университеты
122,Надежда Тэффи,Кусочек жизни
123,Константин Симонов,Живые и мертвые
124,Чингиз Айтматов,"Прощай, Гульсары!"
125,Иван Ефремов,Таис Афинская
126,Виктор Астафьев,Царь-рыба
127,Николай Островский,Как закалялась сталь
128,Николай Некрасов,Кому на Руси жить хорошо
129,Николай Гоголь,Тарас Бульба
130,Николай Гоголь,Вий
131,Антон Чехов,Человек в футляре
132,Антон Чехов,Повести
133,Михаил Булгаков,Дни Турбиных
134,Михаил Булгаков,Бег
135,Михаил Булгаков,Дьяволиада
136,Михаил Булгаков,Роковые яйца
137,Иван Бунин,Солнечный удар
138,Александр Пушкин,Капитанская дочка
139,Александр Пушкин,Повести Белкина
140,Федор Достоевский,Записки из подполья
141,Федор Достоевский,Кроткая
142,Иван Бунин,Темные аллеи
143,Антон Чехов,Палата №6
144,Антон Чехов,Смерть чиновника
145,Владимир Арсеньев,В дебрях Уссурийского края
146,Марина Цветаева,Повесть о Сонечке
147,Иван Шмелев,Солнце Мертвых
148,Михаил Булгаков,Мастер и Маргарита
149,Владимир Обручев,Плутония
150,Федор Достоевский,Идиот
151,Александр Беляев,Человек-амфибия
152,Сергей Бородин,Костры похода
153,Александр Беляев,Избранные произведения
154,Борис Полевой,Повесть о настоящем человеке
155,Артур Дойл,Записки врача общей практики
156,Агата Кристи,Загадочное происшествие в Стайлзе
157,Джейн Остен,Гордость и предубеждение
158,Аркадий Гайдар,Тимур и его команда
159,Иван Гончаров,Обыкновенная история
160,Иван Ефремов,"Роман, повесть"
161,Александр Островский,Гроза
162,Алексей Толстой,Гиперболоид инженера Гарина
163,Алексей Толстой,Аэлита
164,Иван Тургенев,Записки охотника
165,Чингиз Айтматов,Малое собрание сочинений
166,Василий Аксенов,Малое собрание сочинений
167,Владимир Короленко,Малое собрание сочинений
168,Олег Куваев,Малое собрание сочинений
169,Анатолий Мариенгоф,Малое собрание сочинений
170,Владимир Обручев,Малое собрание сочинений
171,Ирина Одоевцева,Малое собрание сочинений
172,Юрий Олеша,Малое собрание сочинений
173,Юлиан Семенов,Малое собрание сочинений
174,Алексей Толстой,Малое собрание сочинений
175,Лидия Чарская,Малое собрание сочинений
176,Иван Шмелев,Малое собрание сочинений
177,Федор Достоевский,Чужая жена  и муж под кроватью
178,Николай Гоголь,Ревизор
179,Михаил Булгаков,Собачье сердце
180,Михаил Салтыков-Щедрин,Сказки
181,Алексей Толстой,В 2-х томах
182,Анатолий Рыбаков,Тяжелый песок
183,Лев Толстой,Севастопольские рассказы
184,Фазиль Искандер,Софичка
185,Лев Толстой,Смерть Ивана Ильича
186,Андрей Платонов,Чевенгур
187,Александр Куприн,Яма
188,Олег Куваев,Территория
189,Валентин Катаев,"Разбитая жизнь, или Волшебный рог Оберона"
190,Чингиз Айтматов,И дольше века длится день
191,Чингиз Айтматов,
192,Чингиз Айтматов,Тавро Кассандры
193,Чингиз Айтматов,Плаха
194,Чингиз Айтматов,"Романы, повести"
195,Виктор Астафьев,"Повести, рассказы"
196,Исаак Бабель,Одесские рассказы
197,Исаак Бабель,Конармия
198,Павел Бажов,Малахитовая шкатулка
199,Павел Бажов,Уральские сказы
200,Павел Бажов,Уральские были
201,Павел Бажов,Повести
202,Александр Беляев,Лучшее
203,Владимир Войнович,Жизнь и необычайные приключения солдата Ивана Чонкина
204,Владимир Войнович,Трилогия
205,Владимир Гиляровский,Москва и москвичи
206,Александр Грин,Алые паруса
207,Александр Грин,Бегущая по волнам
208,Александр Грин,"Романы, повести"
209,Евгений Замятин,Бич Божий
210,Евгений Замятин,"Романы, повести, рассказы, сказки"
211,Фазиль Искандер,Кролики и удавы
212,Фазиль Искандер,Человек и его окрестности
213,Джером Сэлинджер,Над пропастью во ржи
214,Синклер Льюис,Главная улица
215,Марсель Пруст,В поисках утраченного времени
216,Марсель Пруст,В 2-х т
217,Марсель Пруст,Т
218,Марсель Пруст,2
219,Марсель Пруст,Содом и Гоморра
220,Марсель Пруст,Пленница
221,Марсель Пруст,Беглянка
222,Марсель Пруст,Обретенное время
223,Лев Толстой,Воскресение
224,Борис Пастернак,Доктор Живаго
225,Гавриил Троепольский,Белый Бим Черное ухо
226,Михаил Булгаков,Морфий
227,Михаил Булгаков,"Рассказы, повесть"
228,Лев Толстой,Крейцерова соната: Повести
229,Федор Достоевский,Дневник писателя
230,Сергей Есенин,Исповедь хулигана
231,Николай Лесков,Леди Макбет Мценского уезда
232,Федор Тютчев,"Люблю глаза твои, мой друг"
233,Федор Тютчев,
234,Михаил Булгаков,Москва краснокаменная
235,Михаил Булгаков,"Рассказы, фельетоны 20-х годов"
236,Антон Чехов,Беседа пьяного с трезвым чертом
237,Иван Тургенев,Дворянское гнездо
238,Денис Фонвизин,Недоросль
239,Александр Куприн,Поединок
240,Александр Куприн,Повесть
241,Лев Толстой,Казаки
242,Антон Макаренко,Педагогическая поэма
243,Антон Чехов,Малое собрание сочинений
244,Александр Пушкин,Малое собрание сочинений
245,Федор Достоевский,Записки из Мертвого дома
246,Борис Пастернак,Малое собрание сочинений
247,Антон Чехов,Дачное удовольствие
248,Александр Солженицын,Архипелаг ГУЛАГ
249,Александр Солженицын,1918-1956
250,Александр Солженицын,Опыт художественного исследования
251,Александр Солженицын,Комплект из 3-х книг
252,Александр Грин,Блистающий мир
253,Александр Грин,Золотая цепь
254,Алексей Толстой,Князь Серебряный
255,Даниил Хармс,Случаи и Вещи
256,Федор Сологуб,Мелкий бес
257,Юрий Бондарев,Горячий снег
258,Николай Лесков,Левша
259,Максим Горький,Песня о Соколе
260,Аркадий Аверченко,Малое собрание сочинений
261,Константин Симонов,Двадцать дней без войны
262,Алексей Толстой,Петр Первый
263,Александр Солженицын,В круге первом
264,Фазиль Искандер,Сандро из Чегема
265,Константин Паустовский,Золотая роза
266,Александр Солженицын,Абрикосовое варенье
267,Венедикт Ерофеев,Записки психопата
268,Максим Горький,Мать
269,Вадим Кожевников,Щит и меч
270,Валентин Распутин,Прощание с Матёрой
271,Корней Чуковский,От двух до пяти
